organization_id,org_domain,facility_name,location,country,industry_sector,employee_count,week_start_date,week_end_date,operating_days_in_week,electricity_consumption_kwh,renewable_energy_kwh,grid_emission_factor_kgco2_per_kwh,electricity_cost_inr,fuel_type,fuel_consumed_liters,fuel_emission_factor_kgco2_per_liter,generator_runtime_hours,vehicle_id,distance_travelled_km,vehicle_fuel_consumed_liters,occupancy_rate_percent,product_output_units,machine_runtime_hours,equipment_power_rating_kw,temperature_celsius,humidity_percent,weather_condition,occupancy_count,working_hours_per_week,supplier_name,purchase_category,spend_amount_inr,category_emission_factor_kgco2_per_inr,scope_1_emissions_tco2e,scope_2_emissions_tco2e,scope_3_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_unit,recommendation_id,action_type,expected_reduction_tco2e,implementation_cost_inr,roi_months,priority_level,predicted_emission_next_week_tco2e,record_id,date,month,quarter,week_of_year,year,season,facility_type
ORG001,telecom.example,Kochi Warehouse,"Kochi, Singapore",Singapore,Construction,155,2025-08-11,2025-08-17,6,16240.45,3098.1,0.779,125271.04,CNG,220.83,2.75,10.31,,0.0,0.0,98.8,12774,64.53,60,34.6,81.0,Cloudy,210,48,PackWise,Services,367736.2,0.0004,0.6073,10.2379,0.1471,10.9923,0.000861,REC_8777,Supplier change,1.6526,10383.12,1.0,Medium,12.0125,synthetic_anonymized_weekly_record,2025-08-11,8,3,33,2025,Summer,Warehouse
ORG001,agri-farm.example,Gangtok Lab,"Gangtok, Germany",Germany,Automotive,836,2024-04-15,2024-04-21,7,53971.63,18175.61,0.872,427789.31,Diesel,79.2,2.68,43.68,,0.0,0.0,100.0,39907,97.8,45,25.0,62.8,Sunny,630,84,LogiTrans,Electronics,841041.24,0.0015,0.2123,31.2141,1.2616,32.688,0.000819,REC_2199,Retrofit,3.8081,40573.45,24.0,High,31.9791,synthetic_anonymized_weekly_record,2024-04-15,4,2,16,2024,Spring,Lab
ORG001,food-proc.example,Chandigarh Office,"Chandigarh, Italy",Italy,Education,669,2025-10-13,2025-10-19,5,9593.37,460.62,0.807,86248.16,Petrol,79.49,2.31,0.74,,0.0,0.0,71.4,2325,13.35,25,28.0,53.4,Sunny,45,40,ABC Plastics,Packaging,52171.71,0.0006,0.1836,7.3701,0.0313,7.585,0.003262,REC_9597,Policy,1.7853,17892.33,1.0,Medium,7.8221,synthetic_anonymized_weekly_record,2025-10-13,10,4,42,2025,Autumn,Office
ORG001,textiles.example,Allahabad Warehouse,"Allahabad, Japan",Japan,Tech,573,2025-07-21,2025-07-27,5,13522.78,1140.53,0.873,118715.12,Diesel,312.51,2.68,19.73,,0.0,0.0,63.2,3760,56.77,25,23.2,52.3,Humid,55,40,LogiTrans,Electronics,73743.78,0.0015,0.8375,10.8097,0.1106,11.7578,0.003127,,,0.0,0.0,,,11.8944,synthetic_anonymized_weekly_record,2025-07-21,7,3,30,2025,Summer,Warehouse
ORG001,manufactory.example,Jabalpur Office,"Jabalpur, Singapore",Singapore,Biotech,271,2024-07-01,2024-07-07,5,20483.48,2713.14,0.803,188502.06,Diesel,0.0,2.68,0.0,,0.0,0.0,100.0,13160,8.75,45,30.2,84.8,Rainy,103,40,PackWise,Electronics,4341.93,0.0015,0.0,14.2696,0.0065,14.2761,0.001085,REC_3314,Optimize HVAC,4.6196,29575.75,13.0,Low,14.2321,synthetic_anonymized_weekly_record,2024-07-01,7,3,27,2024,Summer,Office
ORG001,telecom.example,Hyderabad Warehouse,"Hyderabad, France",France,Automotive,360,2024-08-12,2024-08-18,6,55110.69,11418.07,0.814,587219.4,Diesel,319.6,2.68,25.87,,0.0,0.0,100.0,16380,36.83,15,31.4,41.1,Sunny,166,48,PackWise,Raw material,611057.81,0.0008,0.8565,35.5658,0.4888,36.9111,0.002253,,,0.0,0.0,,,37.6827,synthetic_anonymized_weekly_record,2024-08-12,8,3,33,2024,Summer,Warehouse
ORG001,textiles.example,Udaipur Center,"Udaipur, UK",UK,Manufacturing,330,2024-08-05,2024-08-11,5,61165.23,665.19,0.798,593611.18,Natural Gas,650.15,2.06,10.72,,0.0,0.0,100.0,145375,84.16,75,25.5,51.2,Rainy,1537,45,ABC Plastics,Electronics,108181.33,0.0015,1.3393,48.279,0.1623,49.7806,0.000342,,,0.0,0.0,,,50.8653,synthetic_anonymized_weekly_record,2024-08-05,8,3,32,2024,Summer,Center
ORG001,green-energy.example,Pune HQ,"Pune, Mexico",Mexico,Tech,213,2023-12-25,2023-12-31,5,4713.85,159.22,0.807,49632.69,Petrol,0.0,2.31,0.0,VEH009,375.48,53.37,34.7,2640,63.33,25,20.9,26.0,Sunny,34,40,PackWise,Electronics,54830.63,0.0015,0.143,3.6756,0.0822,3.9008,0.001478,,,0.0,0.0,,,4.2365,synthetic_anonymized_weekly_record,2023-12-25,12,4,52,2023,Winter,HQ
ORG001,edu-institute.example,Bhopal Unit,"Bhopal, South Korea",South Korea,Agriculture,456,2024-04-15,2024-04-21,6,23091.44,666.33,0.761,214642.03,Petrol,0.0,2.31,0.0,VEH020,808.65,63.87,91.6,16398,86.92,60,36.2,59.1,Sunny,105,54,PackWise,Services,178784.86,0.0004,0.1712,17.0655,0.0715,17.3082,0.001056,,,0.0,0.0,,,16.8971,synthetic_anonymized_weekly_record,2024-04-15,4,2,16,2024,Spring,Unit
ORG001,fin-services.example,Mumbai Plant,"Mumbai, Japan",Japan,Automotive,4864,2025-10-13,2025-10-19,7,63339.41,12404.36,0.678,545594.97,Petrol,291.98,2.31,107.34,,0.0,0.0,100.0,250425,15.28,100,27.1,82.6,Sunny,2673,56,LogiTrans,Packaging,258047.91,0.0006,0.6745,34.534,0.1548,35.3633,0.000141,,,0.0,0.0,,,37.3664,synthetic_anonymized_weekly_record,2025-10-13,10,4,42,2025,Autumn,Plant
